"id","name","category","image","download_file","preview","show_by","download_count","view_count","download_count2"
"501","SYMMETRIC IS VIRAL NOW!!!","TIKTOK","https://i.imgur.com/yXw83rN.jpeg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/501_SIMETRIS.VIRAL.SEKARANG.zip","https://github.com/bangzvl/MLBB-X-TIKTOK/blob/31169eaaa69fbb4145e91f8a04a1883abd12d9bf/SIMETRIS%20VIRAL%20T%20IKTOK.mp4","mode_public","9677","22432","5657"
"500","Background SAYLVIEE This style is great","TIKTOK","https://i.imgur.com/aqUrrXC.png","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/500_Background.SAYLVIEE.Style.mantep.nih.zip","","mode_public","4949","7814","2243"
"499","SAYLVIEE This style is great","TIKTOK","https://i.imgur.com/CfYP2qM.jpeg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/499_SAYLVIEE.Style.mantep.sih.ini.zip","https://github.com/bangzvl/MLBB-X-TIKTOK/blob/daa6b09847c8eed07093849ac8c054a9aeac5d0e/INTRO%20ML%20SAYLVIEE.mp4","mode_public","11042","25959","6757"
"498","DJ Miss You I Miss You","TIKTOK","","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/498_DJ.RIndu.Aku.Rindu.Kamu.zip","https://github.com/bangzvl/BACKSOUND/blob/e0112abcdaf90f3495a79dd69c95d510dca3d991/DJ%20RINDU%20AKU%20RINDU%20KAMU%20JADI%20SATU%20SLOW%20VIRAL%20TIKTOK.mp3","mode_public","0","0","0"
"497","Itss_anggi's version of background is viral","TIKTOK","https://i.imgur.com/m5Y4MoI.jpeg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/497_Background.Versi.Itss_anggi.viral.zip","","mode_public","19115","25176","10918"
"496","🔥VIRAL itss_anggi in Tweet Full Album","TIKTOK","https://i.imgur.com/QBYCy5r.jpeg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/496_VIRAL.itss_anggi.di.Tweet.Full.Album.zip","https://github.com/bangzvl/MLBB-X-TIKTOK/blob/552202fc5afa1f8e048de7d7dc38d80c48c629e4/ITSS%20ANGGI%20VIRAL%20TWEET.mp4","mode_public","40699","61486","26045"
"495","🔥AYU PUSPA is a TikTok trend now","TIKTOK","https://i.ibb.co.com/h1rMMqkj/firstloadingbg.jpg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/495_AYU.PUSPA.TREND.TikTok.sekarang.nih.zip","","mode_public","6528","11283","3289"
"494","Trend🔥 AYU PUSPA THERE IS NO MEDICINE","TIKTOK","https://i.ibb.co.com/Tx7h4Lwk/Salinan-dari-X-9.jpg","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/494_Trend.AYU.PUSPA.GA.ADA.OBAT.SIH.zip","https://github.com/bangzvl/MLBB-X-TIKTOK/blob/aa32cf2f2c8aa078d7691f8953b23a19c8e53296/INTRO%20ML%20PUSPA%20DEWI.mp4","mode_public","14056","34979","7568"
"493","Backround Loli CUTE Viral Tiktok","ANIME","https://i.ibb.co.com/93zv1N7S/Screenshot-2025-03-24-134222.png","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/493_Backround.Loli.Imut.Viral.Tiktok.zip","","mode_public","10441","14078","5702"
"492","3 Loli CUTE Viral Tiktok Animation","ANIME","https://i.ibb.co.com/93zv1N7S/Screenshot-2025-03-24-134222.png","https://github.com/Sparkies01/mlbb-intro/releases/download/v4.1.3/492_3.Loli.IMut.Viral.Tiktok.Animation.zip","https://github.com/bangzvl/Intro-Tools-ML/blob/149779c003bfd6587aa2bc3c8770871ab5ac9c10/3Loli%20viral%20tiktok.mp4","mode_public","20354","30979","12633"
